,date,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max_x,UVI Max Time,Cloud Amount,degree,UVI Max_y,station,Lng,Lat
0,2017-01-01,,768.7,3187.6,,,,,8.4,,,,,3.7,73,,,1.0,350,,,,0.0,,,,,,9.4,88.1,14.94,30.0,1.3,,,0.0,0.0,6,彰化彰濱光電,120.4184782,24.1086004
1,2017-01-02,,768.1,3185.4,,,,,10.9,,,,,2.5,57,,,2.3,100,,,,0.0,,,,,,9.4,88.0,15.34,30.0,2.5,,,0.0,0.0,7,彰化彰濱光電,120.4184782,24.1086004
2,2017-01-03,,767.7,3186.0,,,,,11.8,,,,,1.8,52,,,1.3,80,,,,0.0,,,,,,9.4,88.0,15.42,30.0,2.7,,,0.2,0.0,6,彰化彰濱光電,120.4184782,24.1086004
3,2017-01-04,,767.2,3180.7,,,,,12.6,,,,,2.3,50,,,1.5,100,,,,0.0,,,,,,9.4,87.9,15.62,38.3,1.7,,,0.0,0.0,5,彰化彰濱光電,120.4184782,24.1086004
4,2017-01-05,,766.5,3173.3,,,,,12.1,,,,,3.1,54,,,1.0,250,,,,0.0,,,,,,9.4,87.9,15.58,38.3,2.0,,,0.0,0.0,5,彰化彰濱光電,120.4184782,24.1086004
5,2017-01-06,,765.1,3155.7,,,,,10.8,,,,,3.1,60,,,0.8,260,,,,0.0,,,,,,8.8,82.2,15.21,34.2,1.6,,,0.2,0.0,6,彰化彰濱光電,120.4184782,24.1086004
6,2017-01-07,,763.7,3139.2,,,,,10.4,,,,,3.2,62,,,1.2,180,,,,0.0,,,,,,3.6,33.6,10.3,22.5,1.5,,,7.5,0.0,6,彰化彰濱光電,120.4184782,24.1086004
7,2017-01-08,,763.6,3135.6,,,,,9.4,,,,,5.0,75,,,1.3,290,,,,0.0,,,,,,6.4,59.7,12.49,24.2,0.8,,,3.3,0.0,6,彰化彰濱光電,120.4184782,24.1086004
8,2017-01-09,,764.6,3141.2,,,,,7.3,,,,,2.3,71,,,1.5,360,,,,0.0,,,,,,6.0,55.9,11.97,17.5,0.8,,,2.2,0.0,6,彰化彰濱光電,120.4184782,24.1086004
9,2017-01-10,,765.7,3148.3,,,,,6.2,,,,,2.6,78,,,0.9,290,,,,0.0,,,,,,6.7,62.4,14.67,18.0,0.9,,,3.2,0.0,5,彰化彰濱光電,120.4184782,24.1086004
10,2017-01-11,,765.9,3155.8,,,,,8.5,,,,,4.9,78,,,1.1,170,,,,0.0,,,,,,6.3,58.6,13.45,14.8,8.9,,,5.2,0.0,6,彰化彰濱光電,120.4184782,24.1086004
11,2017-01-12,,764.4,3143.7,,,,,9.7,,,,,6.9,83,,,0.7,260,,,,0.0,,,,,,2.8,26.0,10.55,14.8,1.2,,,8.2,0.0,6,彰化彰濱光電,120.4184782,24.1086004
12,2017-01-13,,763.8,3138.7,,,,,10.1,,,,,7.0,83,,,1.6,330,,,,3.0,,,,,,3.7,34.4,8.14,9.2,-0.6,,,6.8,0.0,4,彰化彰濱光電,120.4184782,24.1086004
13,2017-01-14,,764.4,3142.8,,,,,9.1,,,,,7.3,89,,,1.8,360,,,,4.0,,,,,,1.1,10.2,6.89,8.0,-2.2,,,7.5,0.0,5,彰化彰濱光電,120.4184782,24.1086004
14,2017-01-15,,765.3,3149.3,,,,,7.5,,,,,4.8,83,,,1.7,350,,,,0.0,,,,,,1.9,17.6,8.66,10.2,0.6,,,8.8,0.0,5,彰化彰濱光電,120.4184782,24.1086004
15,2017-01-16,,765.2,3143.5,,,,,6.0,,,,,3.5,84,,,1.0,290,,,,0.0,,,,,,5.1,47.2,13.29,8.6,1.4,,,6.8,0.0,5,彰化彰濱光電,120.4184782,24.1086004
16,2017-01-17,,767.6,3171.2,,,,,7.2,,,,,2.3,71,,,1.2,200,,,,0.0,,,,,,7.2,66.6,13.56,21.7,0.7,,,4.2,0.0,7,彰化彰濱光電,120.4184782,24.1086004
17,2017-01-18,,768.9,3187.7,,,,,8.2,,,,,2.5,68,,,1.1,330,,,,0.0,,,,,,8.3,76.7,15.07,30.0,1.4,,,1.2,0.0,7,彰化彰濱光電,120.4184782,24.1086004
18,2017-01-19,,767.8,3176.1,,,,,7.6,,,,,3.5,76,,,1.1,70,,,,0.0,,,,,,6.6,60.9,12.89,27.0,0.9,,,1.7,0.0,8,彰化彰濱光電,120.4184782,24.1086004
19,2017-01-20,,767.1,3167.0,,,,,7.2,,,,,4.3,82,,,1.1,300,,,,0.0,,,,,,5.0,46.1,13.14,15.9,-1.2,,,5.2,0.0,7,彰化彰濱光電,120.4184782,24.1086004
20,2017-01-21,,768.0,3174.1,,,,,5.8,,,,,4.0,89,,,1.3,270,,,,0.0,,,,,,1.8,16.6,5.28,11.2,1.2,,,6.0,0.0,7,彰化彰濱光電,120.4184782,24.1086004
21,2017-01-22,,769.0,3184.5,,,,,6.9,,,,,2.3,73,,,0.9,320,,,,0.0,,,,,,1.1,10.1,8.07,30.0,0.7,,,8.8,0.0,7,彰化彰濱光電,120.4184782,24.1086004
22,2017-01-23,,768.7,3183.0,,,,,6.9,,,,,4.2,83,,,0.9,280,,,,0.0,,,,,,0.6,5.5,7.72,20.5,2.3,,,9.5,0.0,6,彰化彰濱光電,120.4184782,24.1086004
23,2017-01-24,,769.2,3187.1,,,,,6.1,,,,,2.6,78,,,0.8,310,,,,0.0,,,,,,0.1,0.9,6.76,19.3,0.8,,,9.7,0.0,5,彰化彰濱光電,120.4184782,24.1086004
24,2017-01-25,,768.8,3180.1,,,,,5.1,,,,,1.7,79,,,1.0,330,,,,0.0,,,,,,1.8,16.5,7.52,17.8,0.7,,,6.8,0.0,6,彰化彰濱光電,120.4184782,24.1086004
25,2017-01-26,,766.8,3155.3,,,,,4.2,,,,,0.7,79,,,1.3,240,,,,0.0,,,,,,5.9,53.9,14.33,19.9,0.5,,,3.8,0.0,7,彰化彰濱光電,120.4184782,24.1086004
26,2017-01-27,,767.1,3159.3,,,,,5.1,,,,,-2.8,60,,,1.4,180,,,,0.0,,,,,,8.5,77.6,17.47,20.7,1.0,,,1.2,0.0,7,彰化彰濱光電,120.4184782,24.1086004
